pan 2.8099800957108707, tilt 0.17453292519943295, dist 225, x -209.50965537013502, y 72.13995959473887, z 39.07083997505932, m 221.5817444277468
pan 3.12413936106985, tilt 0.2617993877991494, dist 224, x -216.33443128800332, y 3.776131544341107, z 57.975466102964646, m 216.3673850887513
pan 2.775073510670984, tilt 0.2617993877991494, dist 235, x -211.91581954482842, y 81.34686157831486, z 60.82247559909237, m 226.99256917793105
pan 2.426007660272118, tilt 0.2617993877991494, dist 309, x -225.25898373945168, y 195.8146471386664, z 79.97508493667891, m 298.4710803233221
pan 2.076941809873252, tilt 0.2617993877991494, dist 131, x -61.34600742684255, y 110.67112699325942, z 33.905294908430214, m 126.53628324386794
pan 1.7278759594743862, tilt 0.2617993877991494, dist 129, x -19.492427597625458, y 123.0703442692014, z 33.387656818225175, m 124.60443159128981
pan 1.3788101090755203, tilt 0.2617993877991494, dist 130, x 23.9599537479219, y 123.26327627633444, z 33.646475863327694, m 125.57035741757888
pan 1.0297442586766545, tilt 0.2617993877991494, dist 190, x 94.52282983478678, y 157.31240630774505, z 49.17561856947894, m 183.525906994923
pan 0.6806784082777885, tilt 0.2617993877991494, dist 187, x 140.3744213789294, y 113.67296510164489, z 48.399161434171376, m 180.62812951605576
pan 0.017453292519943295, tilt 0.3490658503988659, dist 51, x 47.917024553461225, y 0.8363947747476619, z 17.443027309609104, m 47.92432366008133
pan 0.3665191429188092, tilt 0.3490658503988659, dist 189, x 165.80566252333094, y 63.64683064792624, z 64.64180708855139, m 177.6019053285367
pan 0.7155849933176751, tilt 0.3490658503988659, dist 188, x 133.32866439389267, y 115.90083972836145, z 64.29978694522572, m 176.6622127077508
pan 1.064650843716541, tilt 0.3490658503988659, dist 131, x 59.67993496472671, y 107.66545270785976, z 44.8046387756626, m 123.09973332295401
pan 1.413716694115407, tilt 0.3490658503988659, dist 129, x 18.963040304101604, y 119.72792444286536, z 44.120598489011265, m 121.22034808138218
pan 1.7627825445142729, tilt 0.3490658503988659, dist 130, x -23.309234641538517, y 119.91561668432125, z 44.462618632336934, m 122.16004070216809
pan 2.111848394913139, tilt 0.3490658503988659, dist 135, x -65.33695958626231, y 108.73896127858136, z 46.17271934896527, m 126.85850380609764
pan 2.4609142453120048, tilt 0.3490658503988659, dist 310, x -226.38628082895252, y 183.32399554968669, z 106.0262444309573, m 291.3047124436316
pan 2.8099800957108707, tilt 0.3490658503988659, dist 239, x -212.35074196529678, y 73.11822416120017, z 81.74281425483483, m 224.5865363678321
pan 3.12413936106985, tilt 0.4363323129985824, dist 236, x -213.85606146512862, y 3.732871438166694, z 99.73790977080508, m 213.8886377406494
pan 2.775073510670984, tilt 0.4363323129985824, dist 242, x -204.7589129069774, y 78.5995825179376, z 102.27361934124926, m 219.32648446286927
pan 2.076941809873252, tilt 0.4363323129985824, dist 156, x -68.54433051328766, y 123.6572455990792, z 65.92844883154912, m 141.3840147777174
pan 0.33161255787892263, tilt 0.4363323129985824, dist 195, x 167.10151533142513, y 57.53766595115602, z 82.41056103943639, m 176.73001847214672
pan 0.017453292519943295, tilt 0.5235987755982988, dist 159, x 137.6770671233999, y 2.4031621457655157, z 79.49999999999999, m 137.69803920172575
pan 0.3665191429188092, tilt 0.5235987755982988, dist 152, x 122.89266360501813, y 47.17407372767225, z 75.99999999999999, m 131.6358613752347
pan 0.7155849933176751, tilt 0.5235987755982988, dist 189, x 123.52995943200555, y 107.38295545721893, z 94.49999999999999, m 163.6788013152589
pan 1.064650843716541, tilt 0.5235987755982988, dist 207, x 86.91049155640981, y 156.7906772018771, z 103.49999999999999, m 179.2672585833788
pan 1.413716694115407, tilt 0.5235987755982988, dist 131, x 17.747384918547194, y 112.05257841099832, z 65.49999999999999, m 113.44932789576147
pan 1.7627825445142729, tilt 0.5235987755982988, dist 132, x -21.81239771920114, y 112.21505828425786, z 65.99999999999999, m 114.3153532995459
pan 2.111848394913139, tilt 0.5235987755982988, dist 325, x -144.9617184562104, y 241.2568137529434, z 162.49999999999997, m 281.4582562299426
pan 2.4609142453120048, tilt 0.5235987755982988, dist 333, x -224.11837230838293, y 181.48747944098253, z 166.49999999999997, m 288.3864594602181
pan 2.8099800957108707, tilt 0.5235987755982988, dist 428, x -350.46484946176867, y 120.6747251570926, z 213.99999999999997, m 370.65887281973977
pan 3.12413936106985, tilt 0.6108652381980153, dist 179, x -146.60588374023405, y 2.5590152195444924, z 102.67018210683725, m 146.62821592772954
pan 2.775073510670984, tilt 0.6108652381980153, dist 429, x -328.07531108067644, y 125.9363127069277, z 246.06429119459875, m 351.4162269999775
pan 2.076941809873252, tilt 0.6108652381980153, dist 157, x -62.349848267973805, y 112.48210380935205, z 90.05150050711423, m 128.60687095337173
pan 1.7278759594743862, tilt 0.6108652381980153, dist 131, x -16.786813150379746, y 105.9877669547771, z 75.13851316198704, m 107.30891780185793
pan 1.3788101090755203, tilt 0.6108652381980153, dist 132, x 20.631808379348172, y 106.14145265470547, z 75.71208959833808, m 108.12806984614691
pan 1.0297442586766545, tilt 0.6108652381980153, dist 208, x 87.75405432544146, y 146.04727210690496, z 119.30389876101758, m 170.3836252121103
pan 0.6806784082777885, tilt 0.6108652381980153, dist 191, x 121.59073428033665, y 98.4622352046734, z 109.5530993430498, m 156.45804045919743
pan 0.33161255787892263, tilt 0.6108652381980153, dist 231, x 178.9149225206565, y 61.605348253443026, z 132.49615679709163, m 189.2241222307571
pan 0.017453292519943295, tilt 0.6981317007977318, dist 159, x 121.78251556353958, y 2.125721716283252, z 102.20322994015974, m 121.80106645591752
pan 0.3665191429188092, tilt 0.6981317007977318, dist 158, x 112.99592747180667, y 43.3750726618969, z 101.56044233047321, m 121.03502201279855
pan 0.7155849933176751, tilt 0.6981317007977318, dist 133, x 76.89276365307538, y 66.84185967765602, z 85.49075208830972, m 101.88391093482409
pan 1.064650843716541, tilt 0.6981317007977318, dist 135, x 50.13707160064436, y 90.44967147702509, z 86.7763273076828, m 103.41599982106204
pan 1.413716694115407, tilt 0.6981317007977318, dist 160, x 19.173720425017432, y 121.05810637540958, z 102.84601754984628, m 122.56711089903649
pan 1.7627825445142729, tilt 0.6981317007977318, dist 158, x -23.094570955640076, y 118.81126775694945, z 101.56044233047321, m 121.03502201279855
pan 2.111848394913139, tilt 0.6981317007977318, dist 96, x -37.87603730683613, y 63.036311762510145, z 61.70761052990777, m 73.5402665394219
pan 2.4609142453120048, tilt 0.6981317007977318, dist 431, x -256.58651680984775, y 207.77966444573698, z 277.04145977489844, m 330.1651549842796
pan 2.8099800957108707, tilt 0.6981317007977318, dist 429, x -310.72866855185646, y 106.99246082313617, z 275.7558845555253, m 328.63306609804164
pan 3.12413936106985, tilt 0.7853981633974483, dist 163, x -115.24085092000836, y 2.01153653519178, z 115.25840533340724, m 115.25840533340725
pan 2.775073510670984, tilt 0.7853981633974483, dist 429, x -283.200510604097, y 108.71049072457873, z 303.34880912902884, m 303.3488091290289
pan 2.426007660272118, tilt 0.7853981633974483, dist 432, x -230.54123318485313, y 200.40643652739098, z 305.4701294725885, m 305.47012947258855
pan 2.076941809873252, tilt 0.7853981633974483, dist 159, x -54.50713503964491, y 98.3334746145478, z 112.42997820866104, m 112.42997820866107
pan 1.7278759594743862, tilt 0.7853981633974483, dist 156, x -17.25607588243299, y 108.95057524005881, z 110.30865786510141, m 110.30865786510142
pan 1.3788101090755203, tilt 0.7853981633974483, dist 155, x 20.912961854032865, y 107.58786189199861, z 109.60155108391486, m 109.60155108391487
pan 1.0297442586766545, tilt 0.7853981633974483, dist 291, x 105.97839236340583, y 176.37766398290916, z 205.76807332528531, m 205.76807332528534
pan 0.6806784082777885, tilt 0.7853981633974483, dist 121, x 66.49254669747359, y 53.8446026420875, z 85.55992052357225, m 85.55992052357226
pan 0.33161255787892263, tilt 0.7853981633974483, dist 160, x 106.97321544705956, y 36.833831960807174, z 113.1370849898476, m 113.13708498984761
pan 0.017453292519943295, tilt 0.8726646259971648, dist 159, x 102.18766389320741, y 1.7836923081188112, z 121.8010664559175, m 102.20322994015976
pan 0.3665191429188092, tilt 0.8726646259971648, dist 185, x 111.01737719768111, y 42.61557837015063, z 141.71822197701093, m 118.91570779200978
pan 0.7155849933176751, tilt 0.8726646259971648, dist 275, x 133.40744094670495, y 115.96931914097205, z 210.66222185771895, m 176.76659266379832
pan 1.064650843716541, tilt 0.8726646259971648, dist 150, x 46.74444254267729, y 84.329206640531, z 114.9066664678467, m 96.4181414529809
pan 1.413716694115407, tilt 0.8726646259971648, dist 313, x 31.473444522866195, y 198.7155080282873, z 239.77191069624013, m 201.1925218318868
pan 1.7627825445142729, tilt 0.8726646259971648, dist 271, x -33.238057330135156, y 170.99498132079825, z 207.59804408524303, m 174.19544222505218
pan 2.111848394913139, tilt 0.8726646259971648, dist 280, x -92.69682605931735, y 154.2734256895367, z 214.49244407331383, m 179.98053071223103
pan 2.4609142453120048, tilt 0.8726646259971648, dist 431, x -215.30165162020617, y 174.34783980255688, z 330.1651549842795, m 277.04145977489844
pan 2.8099800957108707, tilt 0.8726646259971648, dist 262, x -159.23511778241107, y 54.82904805791632, z 200.70364409717223, m 168.41035373787332
pan 3.12413936106985, tilt 0.9599310885968813, dist 259, x -148.533671171337, y 2.592664874322196, z 212.16037947084885, m 148.55629701492094
pan 2.775073510670984, tilt 0.9599310885968813, dist 260, x -139.22473086011223, y 53.443366964682454, z 212.97953151513784, m 149.129873451272
pan 2.426007660272118, tilt 0.9599310885968813, dist 260, x -112.54974419108461, y 97.83799996991874, z 212.97953151513784, m 149.129873451272
pan 2.076941809873252, tilt 0.9599310885968813, dist 261, x -72.57767268958506, y 130.93358749847008, z 213.79868355942682, m 149.70344988762304
pan 1.7278759594743862, tilt 0.9599310885968813, dist 159, x -14.266612553861005, y 90.07584662122194, z 130.24517504194966, m 91.19865337981634
pan 1.3788101090755203, tilt 0.9599310885968813, dist 160, x 17.510966974688298, y 90.08611547315611, z 131.06432708623868, m 91.77222981616738
pan 1.0297442586766545, tilt 0.9599310885968813, dist 260, x 76.80756293392312, y 127.82925108027443, z 212.97953151513784, m 149.129873451272
pan 0.6806784082777885, tilt 0.9599310885968813, dist 260, x 115.89567888524518, y 93.85047027756725, z 212.97953151513784, m 149.129873451272
pan 0.33161255787892263, tilt 0.9599310885968813, dist 244, x 132.3278307234175, y 45.564126124793184, z 199.87309880651398, m 139.95265046965525
pan 0.017453292519943295, tilt 1.0471975511965976, dist 244, x 121.98141880907977, y 2.129193585348589, z 211.31019852340302, m 122.00000000000003
pan 0.3665191429188092, tilt 1.0471975511965976, dist 260, x 121.36545544463625, y 46.58783344088904, z 225.16660498395404, m 130.00000000000003
pan 0.7155849933176751, tilt 1.0471975511965976, dist 259, x 97.734890638849, y 84.95964425427071, z 224.3005795801696, m 129.50000000000003
pan 1.064650843716541, tilt 1.0471975511965976, dist 259, x 62.78284582190068, y 113.26325207455177, z 224.3005795801696, m 129.50000000000003
pan 1.413716694115407, tilt 1.0471975511965976, dist 259, x 20.25826322270991, y 127.90564010707037, z 224.3005795801696, m 129.50000000000003
pan 1.7627825445142729, tilt 1.0471975511965976, dist 259, x -24.709764901262556, y 127.12072025647251, z 224.3005795801696, m 129.50000000000003
pan 2.111848394913139, tilt 1.0471975511965976, dist 259, x -66.69743070085202, y 111.00316544092357, z 224.3005795801696, m 129.50000000000003
pan 2.4609142453120048, tilt 1.0471975511965976, dist 259, x -100.64040200867775, y 81.49699064095395, z 224.3005795801696, m 129.50000000000003
pan 2.8099800957108707, tilt 1.0471975511965976, dist 259, x -122.44465554011155, y 42.16107600220179, z 224.3005795801696, m 129.50000000000003
pan 3.12413936106985, tilt 1.0471975511965976, dist 206, x -102.98431260110833, y 1.7975978630401943, z 178.40123317959436, m 103.00000000000003
pan 2.775073510670984, tilt 1.0471975511965976, dist 259, x -120.89866523138765, y 46.40864946611639, z 224.3005795801696, m 129.50000000000003
pan 2.426007660272118, tilt 1.0471975511965976, dist 259, x -97.734890638849, y 84.95964425427071, z 224.3005795801696, m 129.50000000000003
pan 2.076941809873252, tilt 1.0471975511965976, dist 259, x -62.78284582190065, y 113.26325207455179, z 224.3005795801696, m 129.50000000000003
pan 1.7278759594743862, tilt 1.0471975511965976, dist 260, x -20.33648045523001, y 128.39948427736795, z 225.16660498395404, m 130.00000000000003
pan 1.3788101090755203, tilt 1.0471975511965976, dist 262, x 24.995978394327388, y 128.593161031644, z 226.8986557915229, m 131.00000000000003
